"variable","construct","role","source","calculation","scale_units","direction","missing_data_rule","status","analysis_priority","major_caveat"
"ctb_trials_answered","temporal discounting","quality indicator","deidentified workbook","Count of valid CTB trials","0-24","higher more complete","no imputation","working","diagnostic","Not an outcome"
"promis_physical_function_raw","PROMIS-29","raw score","deidentified workbook","Four-item domain sum after documented reversal","4-20","higher better physical function","complete domain required","working","diagnostic","T-score preferred"
"promis_anxiety_raw","PROMIS-29","raw score","deidentified workbook","Four-item domain sum","4-20","higher worse anxiety","complete domain required","working","diagnostic","T-score preferred"
"promis_depression_raw","PROMIS-29","raw score","deidentified workbook","Four-item domain sum","4-20","higher worse depression","complete domain required","working","diagnostic","T-score preferred"
"promis_fatigue_raw","PROMIS-29","raw score","deidentified workbook","Four-item domain sum","4-20","higher worse fatigue","complete domain required","working","diagnostic","T-score preferred"
"promis_sleep_disturbance_raw","PROMIS-29","raw score","deidentified workbook","Four-item domain sum","4-20","higher worse sleep disturbance","complete domain required","working","diagnostic","T-score preferred"
"promis_social_roles_raw","PROMIS-29","raw score","deidentified workbook","Four-item domain sum after documented reversal","4-20","higher better social-role ability","complete domain required","working","diagnostic","T-score preferred"
"promis_pain_interference_raw","PROMIS-29","raw score","deidentified workbook","Four-item domain sum","4-20","higher worse pain interference","complete domain required","working","diagnostic","T-score preferred"
"promis_physical_function_t","PROMIS-29","outcome","deidentified workbook","Official v2.0 raw-to-T lookup","T score","higher better physical function","complete domain required","working","primary","Reference population metric"
"promis_anxiety_t","PROMIS-29","outcome","deidentified workbook","Official v2.0 raw-to-T lookup","T score","higher worse anxiety","complete domain required","working","primary","Reference population metric"
"promis_depression_t","PROMIS-29","outcome","deidentified workbook","Official v2.0 raw-to-T lookup","T score","higher worse depression","complete domain required","working","primary","Reference population metric"
"promis_fatigue_t","PROMIS-29","outcome","deidentified workbook","Official v2.0 raw-to-T lookup","T score","higher worse fatigue","complete domain required","working","primary","Reference population metric"
"promis_sleep_disturbance_t","PROMIS-29","outcome","deidentified workbook","Official v2.0 raw-to-T lookup","T score","higher worse sleep disturbance","complete domain required","working","primary","Reference population metric"
"promis_social_roles_t","PROMIS-29","outcome","deidentified workbook","Official v2.0 raw-to-T lookup","T score","higher better social-role ability","complete domain required","working","primary","Reference population metric"
"promis_pain_interference_t","PROMIS-29","outcome","deidentified workbook","Official v2.0 raw-to-T lookup","T score","higher worse pain interference","complete domain required","working","primary","Reference population metric"
"promis_pain_intensity","PROMIS-29","outcome","deidentified workbook","Single pain-intensity item","0-10","higher worse pain","source missing retained","working","primary","Single item"
"fraud_lifetime_band","fraud","outcome","deidentified workbook","Ordered lifetime loss band","0-5","higher larger reported loss","source missing retained","working","primary","Banded self-report"
"fraud_lifetime_any","fraud","binary outcome","deidentified workbook","Any lifetime fraud indicator","0/1","1 indicates any fraud","source missing retained","working","primary","Collapses severity"
"fraud_12mo_band","fraud","outcome","deidentified workbook","Ordered past-12-month loss band","0-5","higher larger reported loss","source missing retained","working","primary","Banded self-report"
"fraud_12mo_any","fraud","binary outcome","deidentified workbook","Any past-12-month fraud indicator","0/1","1 indicates any fraud","source missing retained","working","primary","Collapses severity"
"sdi_zcta","social deprivation","exposure","Robert Graham Center SDI","Linked by current ZIP to ZCTA","0-100","higher greater deprivation","unmatched geography missing","working","primary","Current ZIP proxy"
"pm25_2012_2022_zcta","air pollution","exposure","ACAG V5.NA.05","Latitude-corrected area-weighted mean across 2012-2022","µg/m3","higher greater PM2.5","unmatched geometry missing","working","primary","Not population weighted"
"pm25_recent_mean","air pollution","secondary exposure","ACAG V5.NA.05","Latitude-corrected area-weighted mean across 2018-2022","µg/m3","higher greater PM2.5","unmatched geometry missing","working","secondary","Planned trajectory analysis not run"
"pm25_variability","air pollution","secondary exposure","ACAG V5.NA.05","Standard deviation of annual 2012-2022 means","µg/m3","higher more annual variability","requires linked annual values","working","secondary","Not a trend slope"
"pm25_years_available","air pollution","quality indicator","ACAG V5.NA.05","Count of annual values","years","higher more complete","no imputation","working","diagnostic","Not an exposure effect"
"ec_zip","social capital","exposure","Social Capital Atlas","ZIP economic connectedness estimate","index","higher more connectedness","unmatched ZIP missing","working","primary","Current ZIP proxy"
"exposure_grp_mem_zip","social capital","exposure","Social Capital Atlas","ZIP high-SES exposure estimate","index","higher more exposure","unmatched ZIP missing","working","primary","Current ZIP proxy"
"socialcap_economic_connectedness","social capital","analysis alias","Social Capital Atlas","Alias of ec_zip","index","higher more connectedness","unmatched ZIP missing","working","secondary","Same construct as ec_zip"
"socialcap_high_ses_exposure","social capital","analysis alias","Social Capital Atlas","Alias of exposure_grp_mem_zip","index","higher more exposure","unmatched ZIP missing","working","secondary","Same construct as exposure_grp_mem_zip"
"socialcap_friending_bias","social capital","exposure","Social Capital Atlas","ZIP friending-bias estimate","index","higher more bias","unmatched ZIP missing","working","primary","Direction interpretation requires care"
"socialcap_cohesiveness","social capital","exposure","Social Capital Atlas","ZIP clustering/cohesiveness estimate","index","higher more cohesiveness","unmatched ZIP missing","working","primary","Current ZIP proxy"
"socialcap_support_ratio","social capital","exposure","Social Capital Atlas","ZIP support-ratio estimate","index","higher more support","unmatched ZIP missing","working","primary","Current ZIP proxy"
"socialcap_volunteering","social capital","exposure","Social Capital Atlas","ZIP volunteering-rate estimate","rate","higher more volunteering","unmatched ZIP missing","working","primary","Ecological measure"
"socialcap_civic_organizations","social capital","exposure","Social Capital Atlas","ZIP civic-organization estimate","index","higher more organizations","unmatched ZIP missing","working","primary","Ecological measure"
"gini_zcta","income inequality","exposure","ACS 2024 five-year B19083","Linked ZCTA Gini coefficient","0-1","higher more inequality","unmatched ZCTA missing","working","primary","Period estimate"
"gini","income inequality","analysis alias","ACS 2024 five-year B19083","Alias of gini_zcta","0-1","higher more inequality","unmatched ZCTA missing","working","secondary","Same construct as gini_zcta"
"ruca_primary","rurality","exposure","USDA ERS 2020 RUCA","Primary RUCA code linked by ZIP","1-10","higher more rural","unmatched ZIP missing","working","primary","ZIP approximation"
"ruca_category","rurality","descriptor","USDA ERS 2020 RUCA","Grouped RUCA category","category","more rural across documented groups","unmatched ZIP missing","working","diagnostic","Collapsed categories"
"z_sdi","social deprivation","standardized exposure","pipeline","Sample z score of sdi_zcta","SD","higher greater deprivation","requires nonmissing source","working","primary","Sample dependent"
"z_pm25","air pollution","standardized exposure","pipeline","Sample z score of pm25_2012_2022_zcta","SD","higher greater PM2.5","requires nonmissing source","working","primary","Sample dependent"
"z_pm25_recent","air pollution","standardized exposure","pipeline","Sample z score of pm25_recent_mean","SD","higher greater recent PM2.5","requires nonmissing source","working","primary","Sample dependent"
"z_pm25_variability","air pollution","standardized exposure","pipeline","Sample z score of pm25_variability","SD","higher more variability","requires nonmissing source","working","primary","Sample dependent"
"z_gini","income inequality","standardized exposure","pipeline","Sample z score of gini_zcta","SD","higher more inequality","requires nonmissing source","working","primary","Sample dependent"
"z_economic_connectedness","social capital","standardized exposure","pipeline","Sample z score of economic connectedness","SD","higher more connectedness","requires nonmissing source","working","primary","Sample dependent"
"z_high_ses_exposure","social capital","standardized exposure","pipeline","Sample z score of high-SES exposure","SD","higher more exposure","requires nonmissing source","working","primary","Sample dependent"
"z_friending_bias","social capital","standardized exposure","pipeline","Sample z score of friending bias","SD","higher more bias","requires nonmissing source","working","primary","Sample dependent"
"z_cohesiveness","social capital","standardized exposure","pipeline","Sample z score of cohesiveness","SD","higher more cohesiveness","requires nonmissing source","working","primary","Sample dependent"
"z_support_ratio","social capital","standardized exposure","pipeline","Sample z score of support ratio","SD","higher more support","requires nonmissing source","working","primary","Sample dependent"
"z_volunteering","social capital","standardized exposure","pipeline","Sample z score of volunteering","SD","higher more volunteering","requires nonmissing source","working","primary","Sample dependent"
"z_civic_organizations","social capital","standardized exposure","pipeline","Sample z score of civic organizations","SD","higher more organizations","requires nonmissing source","working","primary","Sample dependent"
"z_ruca","rurality","standardized exposure","pipeline","Sample z score of primary RUCA","SD","higher more rural","requires nonmissing source","working","primary","Ordinal code treated numerically"
"risk_low_social_capital","social capital","aligned risk component","pipeline","Negative z economic connectedness","SD","higher lower connectedness","requires nonmissing source","working","primary","Exploratory alignment"
"env_burden_components_available","environmental burden","quality indicator","pipeline","Count of available aligned components","0-4","higher more complete","no imputation","working","diagnostic","Not an exposure effect"
"env_burden_simple","environmental burden","exploratory exposure","pipeline","Mean of at least three aligned z scores","SD-like","higher greater burden","requires at least 3 components","exploratory","exploratory","Not a validated index"
"geo_f","geography","model factor","pipeline","Factorized broad region","category","none","source missing retained","working","primary","Broad region only"
"oafem_adult_total","older-adult financial exploitation","historical alias","pipeline","Alias of oafem_weighted_total","0-124","higher greater exploitation exposure","same as OAFEM weighted","working","secondary","Retained for historical formulas"
